sentence,label
"Deutsche Bank will continue to participate in the UNEP FI and collaborate with the partners of Deutsche Bank sustainability network . db.com/ir/en/annual-reports Please provide your bank ‚Äôs conclusion / statement if your bank has fulfilled the requirements regarding Progress on Implementing The awards two Specific , Measurable ( can be qualitative or quantitative ) , Achievable , Relevant and Time -bound ( SMART ) targets , which address at least two of th e identified ‚Äú areas of most significant impact ‚Äù , resulting from the bank ‚Äôs activities and provision of products and services .",0
Continental A G understand diversity as describing the international make up of Continental A G workforce as well .,0
"Going forward , Deutsche Bank will take even more decisive action and s tarting in the U.S. , Deutsche Bank have set Deutsche Bank the target of raising the number of Black employees at the two highest career levels by 50 % over the next three years .",1
"OUR most important Group policy , the Code of Conduct , was last revised in 2012 and now contains a separate chapter in which OUR commit to respecting human rights including freedom to associate .",0
"In Germany , for example , Deutsche Post DHL Group have already made good progress here and offer employees numerous health related programs and opportunities , including an on the job back check , nutritional counseling , or classes in yoga and Tai Chi .",0
"Deutsche Post have established Health Working Groups at Deutsche Post sites throughout Germany , which initiate up to 40,000 health promotion activities each year .",0
Value Balancing Alliance Deutsche Bank is a founding member of Value Balancing Alliance .,0
"For at tracting , Deutsche Post have made the goal of becoming Employer of Choice an integral component of Deutsche Post Group wide Strategy 2020 .",1
the Super visory Board consists of ten shareholder representatives and ten employee representatives elected by the Annual General Meeting .,0
W hat ar e Deutsche Post DHL Group doing to combat the envir onmental impact of the express business ?,1
"the UNGC ’s ten principles in the areas of human rights , labour standards , environmental protection and fighting corruption are among the key standards by which BRENNTAGWE evaluate all of BRENNTAGWE business activities .",0
"As a proactive risk management system for human rights , Social Intranet at Daimler is de signed with the aim of identifying and avoiding systemic risks and poten tial negative impacts of we business activities on human rights early on .",1
"BRENNTAGWE see BRENNTAGWE as part of local communities in many different countries and cities , as a “ corporate citizen ” , and BRENNTAGWE maintain a lively dialogue with local communities in many different countries and cities and aim to contribute to a positive environment .",1
ALLIANZ GROUP seeks to position ALLIANZ GROUP as one of the world ‚Äôs most trusted financial services providers and a global sustainability leader .,1
BRENNTAGWE WANT TO BE THE SAFEST CHEMICAL DISTRIBUTORSAFETYNFBFor the development of the GROUP ACCIDENT RATE,1
"For The primary responsibility of Corporate Security , Deutsche Post aim to raise awareness of The issue of mental health and well being among Deutsche Post managers , specifically with regard to the potential impact The issue of mental health and well being can have on employee stress levels .",1
Social Intranet at Daimler forms the basis of we business conduct .,0
", BRENNTAGWE takes measures to promote the health of BRENNTAGWE employees and its employees work - life balance .",0
"Deutsche Post DHL Group observe applicable international anti corruption standards and laws , and are a member of the Partnering Against Corruption Initiative .",0
The solution in the parking garage of the Mercedes Benz Museum is the world ’s so far ﬁrst infrastructure based solution for an automated drive up and parking service in real life mixed operation .,0
"Express believe that open , con structively led employer employee dialogue is just as i m portant as fair , reasonable and competitive remuneration .",1
Continental AG is working to encourage Continental AG suppliers to observe Continental AG key environmental principles .,0
"By using greener delivery vehicles , which are deployed primarily in urban settings , the company help reduce emissions in cities , improve air quality , and improve overall quality of life in urban settings .",1
"Along with technical modifications made to conventional fuel vehicles , Deutsche Post have also increased Deutsche Post efforts to deploy alternative drive technologies and alternative fuels as a way to further reduce Deutsche Post greenhouse gas emissions .",1
Brenntag distributes industrial and specialty chemicals for thousands of suppliers .,0
"ALLIANZ GROUP anticipate the risks of climate change , work to protect and care for ALLIANZ GROUP customers , and enable the transition to a low carbon economy .",0
"In doing so , Deutsche Post have exceeded Deutsche Post target for 2017 by one index point .",0
"Through Brenntag AG “ Project Respect ” programme , Brenntag UK & Ireland has also monitored usage data for Brenntag AG 18 locations and for Brenntag AG vehicle fleet for several years now , with the goal of a reduction in Brenntag AG CO2 emissions in the long term .",1
"BRENNTAGWE endeavour to save resources or use resources optimally around the world , and to minimize the impact that BRENNTAGWE business activities have on the soil , water and air .",1
"In addition , the company intend to replace natural gas usage with biogas whenever possible depending on availability , technical specifications and economic factors .",1
"In order to improve the greenhouse gases emission performance of the company road transport operations , the company must therefore focus on efficiency measures for long haul transport .",1
Continental AG is also working on increasing the proportion of women in management positions .,1
To ensure that Deutsche Post DHL Group employee relations remain effective over the long term Deutsche Post DHL Group have established an employee relations framework that will support Deutsche Post DHL Group objective of becoming Employer of Choice .,1
", Deutsche Post have asked the OECD ’s German National Contact Point to extend an existing pro­tocol and continue the regular dialogue until at least the end of 2019 .",0
"At BRENNTAG SE , BRENNTAG SE want to create a working environment where each employee can recognize and take advantage of the development opportunities that exist within BRENNTAG SE .",1
ALLIANZ GROUP has created a dedicated ESG platform for investors who wish to target positive social and environmental change .,0
"In addition , Deutsche Bank have a country and regional organizational layer .",0
