Step;Training Loss;Validation Loss;Accuracy;Precision;Recall;F1
10;0.553000;0.877878;0.500000;0.000000;0.000000;0.000000
20;0.486400;0.927039;0.500000;0.000000;0.000000;0.000000
30;0.446200;0.837312;0.500000;0.000000;0.000000;0.000000
40;0.437700;0.832731;0.500000;0.000000;0.000000;0.000000
50;0.469700;0.664317;0.524038;0.857143;0.057692;0.108108
60;0.400600;0.770123;0.519231;1.000000;0.038462;0.074074
70;0.372400;0.555320;0.706731;0.921569;0.451923;0.606452
80;0.347600;0.501074;0.788462;0.894737;0.653846;0.755556
90;0.392900;0.502856;0.769231;0.911765;0.596154;0.720930
100;0.350600;0.857362;0.639423;0.939394;0.298077;0.452555
110;0.401900;0.419292;0.846154;0.891304;0.788462;0.836735
120;0.310400;0.838382;0.615385;0.961538;0.240385;0.384615
130;0.301800;0.624951;0.725962;0.912281;0.500000;0.645963
140;0.365300;0.466011;0.807692;0.890244;0.701923;0.784946
150;0.309600;0.570603;0.769231;0.911765;0.596154;0.720930
160;0.385800;0.364636;0.865385;0.895833;0.826923;0.860000
170;0.404000;0.694110;0.716346;0.941176;0.461538;0.619355
180;0.310900;0.358677;0.865385;0.895833;0.826923;0.860000
190;0.261400;0.462026;0.793269;0.917808;0.644231;0.757062
200;0.328000;0.579862;0.750000;0.948276;0.528846;0.679012
210;0.275100;0.575242;0.740385;0.946429;0.509615;0.662500
220;0.240000;0.418958;0.812500;0.933333;0.673077;0.782123
230;0.304000;0.437518;0.793269;0.906667;0.653846;0.759777
240;0.304900;0.712204;0.740385;0.946429;0.509615;0.662500
250;0.289600;0.364308;0.855769;0.911111;0.788462;0.845361
260;0.284400;0.497308;0.769231;0.924242;0.586538;0.717647
270;0.247200;0.478129;0.778846;0.926471;0.605769;0.732558
280;0.306800;0.444732;0.822115;0.935065;0.692308;0.795580
290;0.263600;0.463634;0.826923;0.925000;0.711538;0.804348
300;0.187600;0.456085;0.817308;0.923077;0.692308;0.791209
310;0.229500;0.607496;0.793269;0.929577;0.634615;0.754286
320;0.144100;0.542666;0.807692;0.921053;0.673077;0.777778
330;0.267800;0.404445;0.855769;0.877551;0.826923;0.851485
340;0.137600;0.565620;0.793269;0.929577;0.634615;0.754286
350;0.252700;0.495203;0.831731;0.915663;0.730769;0.812834
360;0.270800;0.582168;0.822115;0.935065;0.692308;0.795580
370;0.204000;0.735234;0.769231;0.951613;0.567308;0.710843
380;0.211300;0.388826;0.841346;0.890110;0.778846;0.830769
390;0.254200;0.521324;0.802885;0.943662;0.644231;0.765714
400;0.238300;0.474892;0.802885;0.909091;0.673077;0.773481
410;0.244300;0.617302;0.769231;0.924242;0.586538;0.717647
420;0.204200;0.398351;0.826923;0.895349;0.740385;0.810526
430;0.213900;0.440035;0.817308;0.923077;0.692308;0.791209
440;0.192700;0.488155;0.798077;0.918919;0.653846;0.764045
450;0.283300;0.507322;0.798077;0.918919;0.653846;0.764045
460;0.192600;0.431262;0.865385;0.922222;0.798077;0.855670
470;0.213900;0.610578;0.793269;0.929577;0.634615;0.754286
480;0.159200;0.456964;0.826923;0.925000;0.711538;0.804348
490;0.160600;0.533124;0.812500;0.945205;0.663462;0.779661
500;0.175500;0.653186;0.769231;0.937500;0.576923;0.714286
510;0.212300;0.535942;0.778846;0.926471;0.605769;0.732558
520;0.254200;0.407170;0.836538;0.906977;0.750000;0.821053
530;0.125100;0.522205;0.807692;0.932432;0.663462;0.775281
540;0.213100;0.381810;0.855769;0.902174;0.798077;0.846939
550;0.201800;0.513602;0.822115;0.958904;0.673077;0.790960
560;0.179500;0.540885;0.817308;0.958333;0.663462;0.784091
570;0.165500;0.402701;0.850962;0.939759;0.750000;0.834225
580;0.079100;0.804949;0.769231;0.951613;0.567308;0.710843
590;0.100900;0.701777;0.798077;0.955882;0.625000;0.755814
600;0.218700;0.789376;0.759615;0.950000;0.548077;0.695122
610;0.118400;0.402925;0.865385;0.865385;0.865385;0.865385
620;0.148600;0.573964;0.807692;0.910256;0.682692;0.780220
630;0.137700;0.776327;0.793269;0.942029;0.625000;0.751445
640;0.155600;0.583028;0.817308;0.912500;0.701923;0.793478
650;0.125300;0.680894;0.812500;0.922078;0.682692;0.784530
660;0.233700;0.449101;0.850962;0.910112;0.778846;0.839378
670;0.094500;0.621949;0.812500;0.922078;0.682692;0.784530
680;0.130400;0.602552;0.831731;0.936709;0.711538;0.808743
690;0.113800;0.516704;0.846154;0.918605;0.759615;0.831579
700;0.150500;0.702166;0.807692;0.932432;0.663462;0.775281
710;0.115200;0.839396;0.783654;0.927536;0.615385;0.739884
720;0.065600;0.650407;0.822115;0.924051;0.701923;0.797814
730;0.061200;1.032504;0.754808;0.949153;0.538462;0.687117
740;0.191800;0.617689;0.826923;0.925000;0.711538;0.804348
750;0.081300;0.840733;0.783654;0.927536;0.615385;0.739884
760;0.108900;0.752632;0.807692;0.932432;0.663462;0.775281
770;0.126800;0.690488;0.831731;0.925926;0.721154;0.810811
780;0.093000;0.622868;0.836538;0.906977;0.750000;0.821053
790;0.195000;0.658318;0.841346;0.927711;0.740385;0.823529
800;0.095500;0.588046;0.831731;0.915663;0.730769;0.812834
810;0.090400;0.697541;0.817308;0.923077;0.692308;0.791209
820;0.097800;0.776405;0.812500;0.933333;0.673077;0.782123
