sentence,label
* Number of accidents resulting in at least 1 day ’s absence/1 million working hoursABOUT BRENNTAGWE is the global market leader in chemical distribution and is present on all of the key world markets with BRENNTAGWE wide portfolio of products and services .,0
"Headquartered in Mülheim an der Ruhr , Ger -many , BRENNTAGWE operates a global network of locations and provides BRENNTAGWE suppliers and customers with tailor - made distribution solutions for industrial and specialty chemicals .",0
BRENNTAGWE manages complex sup -ply chains and connects chemical manufacturers and chemical users .,0
"slogan “ ConnectingChemistry ” represents Brenntag ’s self - image as well as its role in the chemical industry : as the global market leader in chemical distribution , Brenntag connects chemical manu -facturers and users in a value - creating partnership .",0
"BRENNTAGWE aim to continuously improve on BRENNTAGWE performance in the issues of safety , environmental pro - tection , responsibility in the supply chain as well as employees and social commitment .",1
"For improve , BRENNTAGWE establish and optimize appropriate standards and processes within BRENNTAGWE international corporate structures , BRENNTAGWE sensi -tize BRENNTAGWE employees accordingly and BRENNTAGWE provide our employees with suitable training on a continuous basis .",0
1WELCOME TO BRENNTAGWE is the global market leader in chemical distribution and aims to play a leading role also in the area of sus -tainability .,1
BRENNTAGWE have a central position in the chemical industry ’s supply chain and connect manufacturers and users of chemical products in a value - creating partnership .,0
"In BRENNTAGWE long - term corporate strategy , BRENNTAGWE aims to expand BRENNTAGWE market leadership .",1
"In doing so , BRENNTAGWE rely on the organic growth of BRENNTAGWE product and service portfolio as well as on growth through acquisitions .",0
BRENNTAGWE “ 2020 vision ” sets out how BRENNTAGWE intend to position BRENNTAGWE in BRENNTAGWE target markets and industries in future .,0
BRENNTAGWE growth is thereby also reflected in the Management Board of Brenntag AG .Connecting Chemistry BRENNTAGWE SUSTAINABILITY REPORT,0
BRENNTAGWE busi -ness activities affect the environment and the communities in which BRENNTAGWE operate .,0
BRENNTAGWE are aware of a responsibility which is not limited to economic aspects alone and BRENNTAGWE intend to live up to a responsibility which is not limited to economic aspects alone in BRENNTAGWE daily work .,0
BRENNTAGWE aim to achieve a continual improvement in BRENNTAGWE performance in the area of sustainability and to contribute towards greater sustainability in all the industries and applications BRENNTAGWE serve .,1
BRENNTAGWE have made important progress here in the 2015 year under review .,0
"On this basis , BRENNTAGWE will continue to further devel -op BRENNTAGWE sustainability strategy in a targeted manner .",0
"For this purpose , BRENNTAGWE have also drawn up initial sustainability targets for the period up to 2020 ( see page 8) as benchmarks for BRENNTAGWE to evaluate BRENNTAGWE progress .",0
"Here , BRENNTAGWE intend to achieve savings in BRENNTAGWE energy consumption and BRENNTAGWE CO2 emissions .",0
BRENNTAGWE will evaluate the results in order to achieve greater transparency of our employees ’ sustainability performance .,1
"However , BRENNTAGWE are not content to rest on BRENNTAGWE laurels .",0
"BRENNTAGWE have launched the BEST initiative ( Brenntag Enhanced Safety Thinking ) , which is intended to deliver continual improvements in BRENNTAGWE safety culture .",0
BRENNTAGWE can be very proud that the participation rate is at more than 80 % .,0
"Based on the extensive results of SUSTAINABILITY REPORT , BRENNTAGWE have drawn up , among others , global , regional and local action plans .",0
"As a member , BRENNTAGWE affirms BRENNTAGWE com -mitment to the Unit -ed Nations Global Compact ( UNGC ten principles in the areas of human rights , labour standards , environmental protection and fighting corruption .",0
"the UNGC ’s ten principles in the areas of human rights , labour standards , environmental protection and fighting corruption complement the standards which BRENNTAGWE apply in evaluating all of BRENNTAGWE busi -ness activities .",0
BRENNTAGWE are continuously working to i m -prove and develop sustainability as a core value within BRENNTAGWE .,1
