sentence,is_goal
* Number of accidents resulting in at least 1 day ’s absence/1 million working hoursABOUT BRENNTAGWE is the global market leader in chemical distribution and is present on all of the key world markets with BRENNTAGWE wide portfolio of products and services .,N
"Headquartered in Mülheim an der Ruhr , Ger -many , BRENNTAGWE operates a global network of locations and provides BRENNTAGWE suppliers and customers with tailor - made distribution solutions for industrial and specialty chemicals .",N
BRENNTAGWE manages complex sup -ply chains and connects chemical manufacturers and chemical users .,N
"slogan “ ConnectingChemistry ” represents Brenntag ’s self - image as well as its role in the chemical industry : as the global market leader in chemical distribution , Brenntag connects chemical manu -facturers and users in a value - creating partnership .",N
"BRENNTAGWE aim to continuously improve on BRENNTAGWE performance in the issues of safety , environmental pro - tection , responsibility in the supply chain as well as employees and social commitment .",Y
"For improve , BRENNTAGWE establish and optimize appropriate standards and processes within BRENNTAGWE international corporate structures , BRENNTAGWE sensi -tize BRENNTAGWE employees accordingly and BRENNTAGWE provide our employees with suitable training on a continuous basis .",N
1WELCOME TO BRENNTAGWE is the global market leader in chemical distribution and aims to play a leading role also in the area of sus -tainability .,Y
BRENNTAGWE have a central position in the chemical industry ’s supply chain and connect manufacturers and users of chemical products in a value - creating partnership .,N
"In BRENNTAGWE long - term corporate strategy , BRENNTAGWE aims to expand BRENNTAGWE market leadership .",Y
"In doing so , BRENNTAGWE rely on the organic growth of BRENNTAGWE product and service portfolio as well as on growth through acquisitions .",N
BRENNTAGWE “ 2020 vision ” sets out how BRENNTAGWE intend to position BRENNTAGWE in BRENNTAGWE target markets and industries in future .,N
BRENNTAGWE growth is thereby also reflected in the Management Board of Brenntag AG .Connecting Chemistry BRENNTAGWE SUSTAINABILITY REPORT,N
BRENNTAGWE busi -ness activities affect the environment and the communities in which BRENNTAGWE operate .,N
BRENNTAGWE are aware of a responsibility which is not limited to economic aspects alone and BRENNTAGWE intend to live up to a responsibility which is not limited to economic aspects alone in BRENNTAGWE daily work .,N
BRENNTAGWE aim to achieve a continual improvement in BRENNTAGWE performance in the area of sustainability and to contribute towards greater sustainability in all the industries and applications BRENNTAGWE serve .,Y
BRENNTAGWE have made important progress here in the 2015 year under review .,N
"On this basis , BRENNTAGWE will continue to further devel -op BRENNTAGWE sustainability strategy in a targeted manner .",N
"For this purpose , BRENNTAGWE have also drawn up initial sustainability targets for the period up to 2020 ( see page 8) as benchmarks for BRENNTAGWE to evaluate BRENNTAGWE progress .",N
"Here , BRENNTAGWE intend to achieve savings in BRENNTAGWE energy consumption and BRENNTAGWE CO2 emissions .",N
BRENNTAGWE will evaluate the results in order to achieve greater transparency of our employees ’ sustainability performance .,Y
"However , BRENNTAGWE are not content to rest on BRENNTAGWE laurels .",N
"BRENNTAGWE have launched the BEST initiative ( Brenntag Enhanced Safety Thinking ) , which is intended to deliver continual improvements in BRENNTAGWE safety culture .",N
BRENNTAGWE can be very proud that the participation rate is at more than 80 % .,N
"Based on the extensive results of SUSTAINABILITY REPORT , BRENNTAGWE have drawn up , among others , global , regional and local action plans .",N
